project_name	publication_year	publication_doi	oil_reservoir	oil_wells	latitude	longitude	geo_loc_name	study_primary_focus	study_process	depth	temp	pH	salinity	API	NO3-	PO43-	SO42-	Ca2+	Mg2+	Na+	К+	Cl-	HCO3-	Acetate	sample_name	feature	material	collection_date	archive	archive_project	archive_accession
An2013	2013	10.1021/es4020184	Suncor tailings pond 6, Wood Buffalo, Alberta	unknown	57.02	-111.55	Canada	industry	corrosion	13.5	unknown	8.35	5.5	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	TP62010	oil reservoir	drilling cuttings	2010	SRA	PRJNA183510	SRS380059
An2013	2013	10.1021/es4020184	Suncor tailings pond 6, Wood Buffalo, Alberta	unknown	57.02	-111.55	Canada	industry	corrosion	13.5	unknown	8.35	5.5	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	TP62008_30ft	oil reservoir	drilling cuttings	2008	SRA	PRJNA183510	SRS380058
An2013	2013	10.1021/es4020184	San Juan basin	unknown	37.00	-108.00	USA	industry	corrosion	unknown	unknown	unknown	5.5	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	San Juan basin coalbed production water	oil reservoir	formation water	2011	SRA	PRJNA183510	SRS380057
An2013	2013	10.1021/es4020184	Quicksilver Bowden, Alberta	unknown	51.97	-113.81	Canada	industry	corrosion	unknown	unknown	unknown	5.5	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	QSAFCN5	oil reservoir	unknown	2011	SRA	PRJNA183510	SRS380033
An2013	2013	10.1021/es4020184	Quicksilver Bowden, Alberta	unknown	51.97	-113.81	Canada	industry	corrosion	unknown	unknown	unknown	5.5	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	QSAFCN2	oil reservoir	unknown	2011	SRA	PRJNA183510	SRS380029
Aurepatipan2018	2018	10.1016/j.petrol.2017.12.077	Mae Soon Luang Field, Fang Basin	SC1	19.93	99.26	Thailand	industy	microbial enhanced oil recovery	609	68	8.64	unknown	None	unknown	unknown	None	None	None	None	None	None	None	None	OC2434	oil reservoir	core	2012	SRA	PRJNA310159	SRS1318636
Aurepatipan2018	2018	10.1016/j.petrol.2017.12.077	Mae Soon Luang Field, Fang Basin	SC2	19.90	99.23	Thailand	industy	microbial enhanced oil recovery	644	70	7.54	unknown	None	unknown	unknown	None	None	None	None	None	None	None	None	OC2188	oil reservoir	core	2012	SRA	PRJNA310159	SRS1318595
Aurepatipan2018	2018	10.1016/j.petrol.2017.12.077	Mae Soon Luang Field, Fang Basin	SC3	19.83	99.20	Thailand	industy	microbial enhanced oil recovery	660	71	08.03	unknown	None	unknown	unknown	None	None	None	None	None	None	None	None	OC2164	oil reservoir	core	2012	SRA	PRJNA310159	SRS1318594
Aurepatipan2018	2018	10.1016/j.petrol.2017.12.077	Mae Soon Luang Field, Fang Basin	SC4	19.80	99.13	Thailand	industy	microbial enhanced oil recovery	667	72	7.24	unknown	None	unknown	unknown	None	None	None	None	None	None	None	None	OC2114	oil reservoir	core	2012	SRA	PRJNA310159	SRS1318593
Aurepatipan2018	2018	10.1016/j.petrol.2017.12.077	Mae Soon Luang Field, Fang Basin	SC5	19.77	99.10	Thailand	industy	microbial enhanced oil recovery	742	77	7.84	unknown	None	unknown	unknown	None	None	None	None	None	None	None	None	OC1999	oil reservoir	core	2012	SRA	PRJNA310159	SRS1318592
